id,first_name,last_name,age,gender,state,party,email,registered_date,last_voted_date,,,,,,,,,
VOT001,James,Smith,34,M,CA,Independent,james.smith@email.com,2015-03-15,2024-11-05,,,,,,,,,
VOT002,Maria,Johnson,45,F,TX,Democrat,maria.johnson@email.com,2008-09-22,2024-11-05,,,,,,,,,
VOT003,Robert,Williams,67,M,FL,Republican,robert.williams@email.com,1998-01-10,2024-11-05,,,,,,,,,
VOT004,Linda,Brown,29,F,NY,Independent,linda.brown@email.com,2018-06-30,2022-11-08,,,,,,,,,
VOT005,Michael,Jones,52,M,PA,Democrat,michael.jones@email.com,2005-04-18,2024-11-05,,,,,,,,,
VOT006,Sarah,Garcia,38,F,IL,Republican,sarah.garcia@email.com,2012-11-01,2024-11-05,,,,,,,,,
VOT007,David,Miller,41,M,OH,Independent,david.miller@email.com,2010-02-28,2024-11-05,,,,,,,,,
VOT008,Jennifer,Davis,55,F,MI,Democrat,jennifer.davis@email.com,2001-07-14,2022-11-08,,,,,,,,,
VOT009,William,Rodriguez,33,M,NC,Republican,william.rodriguez@email.com,2016-09-05,2024-11-05,,,,,,,,,
VOT010,Patricia,Martinez,48,F,GA,Independent,patricia.martinez@email.com,2007-12-20,2024-11-05,,,,,,,,,
VOT011,Christopher,Hernandez,26,M,VA,Democrat,christopher.hernandez@email.com,2020-01-15,2024-11-05,,,,,,,,,
VOT012,Barbara,Lopez,61,F,WA,Republican,barbara.lopez@email.com,1995-05-08,2022-11-08,,,,,,,,,
VOT013,Daniel,Gonzalez,37,M,AZ,Independent,daniel.gonzalez@email.com,2013-08-25,2024-11-05,,,,,,,,,
VOT014,Nancy,Wilson,44,F,MA,Democrat,nancy.wilson@email.com,2009-03-12,2024-11-05,,,,,,,,,
VOT015,Matthew,Anderson,50,M,TN,Republican,matthew.anderson@email.com,2004-10-30,2024-11-05,,,,,,,,,
VOT016,Betty,Thomas,58,F,MO,Independent,betty.thomas@email.com,2002-06-15,2020-11-03,,,,,,,,,
VOT017,Mark,Taylor,31,M,MD,Democrat,mark.taylor@email.com,2017-04-22,2024-11-05,,,,,,,,,
VOT018,Sandra,Moore,46,F,CO,Republican,sandra.moore@email.com,2008-11-18,2024-11-05,,,,,,,,,
VOT019,Paul,Jackson,39,M,OR,Independent,paul.jackson@email.com,2011-09-10,2022-11-08,,,,,,,,,
VOT020,Laura,Martin,53,F,NV,Democrat,laura.martin@email.com,2003-02-05,2024-11-05,,,,,,,,,
VOT021,George,Lee,42,M,CT,Republican,george.lee@email.com,2010-07-28,2024-11-05,,,,,,,,,
VOT022,Donna,Perez,35,F,NJ,Independent,donna.perez@email.com,2014-12-15,2024-11-05,,,,,,,,,
VOT023,Kenneth,Thompson,56,M,IN,Democrat,kenneth.thompson@email.com,2000-05-20,2020-11-03,,,,,,,,,
VOT024,Carol,White,49,F,WI,Republican,carol.white@email.com,2006-08-10,2024-11-05,,,,,,,,,
VOT025,Steven,Harris,28,M,SC,Independent,steven.harris@email.com,2019-03-25,2024-11-05,,,,,,,,,
VOT026,Michelle,Sanchez,40,F,AL,Democrat,michelle.sanchez@email.com,2012-01-08,2022-11-08,,,,,,,,,
VOT027,Edward,Clark,63,M,LA,Republican,edward.clark@email.com,1993-09-15,2024-11-05,,,,,,,,,
VOT028,Sharon,Ramirez,36,F,KY,Independent,sharon.ramirez@email.com,2013-06-20,2024-11-05,,,,,,,,,
VOT029,Brian,Lewis,47,M,OK,Democrat,brian.lewis@email.com,2007-11-05,2024-11-05,,,,,,,,,
VOT030,Amy,Robinson,32,F,AR,Republican,amy.robinson@email.com,2016-02-18,2020-11-03,,,,,,,,,
VOT031,Kevin,Walker,54,M,IA,Independent,kevin.walker@email.com,2001-04-12,2024-11-05,,,,,,,,,
VOT032,Angela,Young,43,F,MS,Democrat,angela.young@email.com,2009-10-25,2024-11-05,,,,,,,,,
VOT033,Jason,Allen,30,M,UT,Republican,jason.allen@email.com,2018-07-15,2024-11-05,,,,,,,,,
VOT034,Kimberly,King,51,F,KS,Independent,kimberly.king@email.com,2004-03-08,2022-11-08,,,,,,,,,
